,Dates,Country,Beta,Momentum,Size,Non_linear_Size,Book_to_Price,Earnings_Yield,Residual_Volatility,Growth,Liquidity,Leverage,CI005027.WI,CI005028.WI,CI005029.WI,CI005026.WI,CI005011.WI,CI005012.WI,CI005013.WI,CI005014.WI,CI005008.WI,CI005009.WI,CI005010.WI,CI005006.WI,CI005007.WI,CI005001.WI,CI005002.WI,CI005003.WI,CI005004.WI,CI005005.WI,CI005018.WI,CI005019.WI,CI005020.WI,CI005021.WI,CI005022.WI,CI005023.WI,CI005015.WI,CI005016.WI,CI005017.WI,CI005024.WI,CI005025.WI
2010-01-04,20100104,0.0054733227805325935,0.0010704898625774261,-0.0002713732376453802,-0.0003181946190030092,-0.0007410346636774848,-0.00037527196714310745,-0.0016189419322814094,0.004313469333705698,0.0013864156333089198,0.0011413475887842065,-0.0011175567182217284,0.006252453935432585,0.0074984422630157335,-0.0011009505342903167,0.01069184956017127,0.004526652333419248,-0.008478863881376548,0.0007569121338857298,-0.0023898089951844073,-0.0032711054635248464,-0.0006792627304898699,-0.008408700508779,0.0047943322822433755,-0.011301176533806866,0.0024595268323100734,-0.00021480194690354421,-0.0052472048368710795,0.001002312235786636,-0.009191247656821498,-0.007457529738549279,0.0012612881403888732,0.012447004243695683,-0.008813803212613668,-0.006758813329328483,-0.013228431946782804,-0.010145067016540282,-0.0009763812551534274,-0.0030839416138276274,0.0019888673373865766,0.02399166352934204
2010-01-05,20100105,0.009960250897300635,0.0015777829962778066,-0.00018637864089459763,-0.0016260562167592166,-0.0010647746386993695,0.0017879603489932524,-0.0018077239366831636,0.004403345079278458,0.0002056971292310999,-0.0011831681094004595,0.00047364392579539764,0.021160929924006755,0.020970194228724637,-0.00815642405065158,-0.00022226790687973635,0.003826571932939141,0.003722106506776881,-0.005785520026105949,-0.0072789255709194275,-0.003528669190567792,-0.004951956616203704,0.0037186463374845823,0.0014477064230483878,-0.0038266431633867015,-0.0014705944923742841,0.02568616602573065,0.028435003681540554,0.002764967631815546,0.001993525049480264,-0.0020969568082313044,-0.0029504094133259553,0.00761882104263193,-0.012086541413284987,0.008567032968544783,-0.02190044145085494,-0.002222033918484144,-0.006359712429404756,-0.002594785600996946,0.005295598752200199,0.009687078787123576
2010-01-06,20100106,-0.0016265074212031866,-0.0004487606465191998,0.001981259694220831,-0.0005006162940557295,-0.00025120020009728714,-0.0011548215924205734,-0.0005080534250622676,-0.001608554104640328,0.0004499191277247192,0.0006004518253243668,0.0010505513583958523,0.0019910827570109226,-0.0007977039828834387,-0.010650350061575472,0.004475121202622677,-0.0030527399813842578,0.006068977852016237,-0.011713825018848139,-0.004728484544020943,0.006362468603042196,-0.0018746546420387853,8.353732594215652e-05,0.0034563257894844753,0.004983920190164736,-0.006706714215309464,-0.00674810894886628,0.014045331405225759,0.007721260357334471,0.003848917339586406,0.0016452705882760705,-0.008669561735169943,-0.009694564531292625,0.0024282098779946472,0.0019340926515747045,0.007215574032294038,-0.0011098550178407726,-0.004111299555749641,0.0059774035197337795,-0.003827442434364513,-0.0003097517379535092
2010-01-07,20100107,-0.02087558990140732,-0.00030999578084635646,0.0020695271653573643,0.0005670469241075408,-0.001568767258228169,9.405894149080508e-05,-0.002129643763713018,0.00035860712992526243,-0.00011473543640844111,-0.002526105550205963,-0.0029416578487867703,-0.006355771901631716,-0.006077890158460049,0.0016297852273663347,-0.009618174106451471,0.004462791327665441,-1.2051826746929716e-06,-0.013092426613644402,-0.005364677594399635,0.001455872458615711,0.0056910417148568785,-0.003058809474692892,0.004397380193602462,0.009705538270564851,-0.010299284380815094,0.009086284282409767,0.01127698203740366,0.003679342046446518,-0.007394523520740763,-0.006616297173792803,-0.0003140351775789272,-0.002331366884296203,0.0052163304899052595,-0.005499274977366743,0.015860329131283782,0.012508534814027777,-0.0074211991367943856,-0.00899986859697644,0.00843011870539579,-0.005122081841700308
2010-01-08,20100108,0.013048775237155358,0.003443758973990172,0.0002346950289557951,0.000797276106540779,-0.00036032147761111064,7.277353495029943e-05,0.0004634856923855134,0.0025630754972354713,-0.0011384029822506924,0.0007585319182333577,0.0012097108166124054,0.010759811580739395,0.010884934955488113,0.0010833971293411735,0.008004791434996477,-0.0020432551167837453,0.005925866611780243,-0.0006448125519219575,0.0020001033777762023,-0.006352533156301142,-0.002256335209695289,-0.01078332653287035,-0.006608118027990283,-0.003982738101215966,-0.0010316453330706777,-0.006147530328433835,-0.012159923920974047,0.004039594872849083,-0.010448362774132549,-0.004456932951052756,0.007986828437380581,-0.0023118749604357745,-0.0041564939360596844,-0.01219193250787012,0.010205859647639133,0.002153499520925834,0.0026042434638211603,0.0016277770914281562,0.001267654679057087,0.010839341719982047
2010-01-11,20100111,0.006163614666074671,0.0024721926773511537,-0.0043170768746772425,-0.002024960368279093,0.00013372802478161096,0.00017518550636736293,0.00016764492614818388,0.004634342327188885,-0.002013398095861554,-0.0002445745563762784,-0.0003918898139247455,0.035897354631222525,0.028911482596995282,0.0021977250850660607,0.024687893188525357,0.005345796590285192,0.010898413434509454,-0.012940949098627955,-0.0008579934914467254,-0.007403878819075799,-0.0032346847440349116,0.002104997979964436,-0.0012992052855167655,0.002612967021800873,4.1541878400324674e-05,-0.005252497994999088,0.014007457640582083,-0.0037004076024598426,-0.01778267389461079,-0.0030470647927576646,-0.006004657011182039,-0.007076424676066227,0.0041504029482227235,0.0032284028732117464,-0.022065010170915354,0.0034034710816249624,-0.0049522580991073215,0.020283105104044505,-0.00035462266866185486,0.023037614217488313
2010-01-12,20100112,0.0223567476563854,-0.0011425158091436472,0.0036963236701141326,-0.0014609469707339323,0.0011676760218263357,0.0023995183880902303,0.002551410560302662,-0.0041271594835835404,0.0007319839124291603,-0.0020528822620091832,-0.00163794645100383,-0.0035715373436810654,0.00037049828000614027,-0.009593480082500685,0.011298665897627822,-0.008032729518326742,0.01070080676545215,0.007027872588240468,-0.004807088541251917,0.0013833802080457781,0.0011127947736372075,0.007961341151641778,0.007171543722967699,-0.01465438539608421,-0.0003360594470550217,-0.003809283556199557,-0.006285406798166536,-0.013269944396748301,-0.008454442617679298,0.005056253973699155,-0.0064081114098421465,0.009263113222666342,-0.012343281421730863,0.010282034244894754,-0.005188543671069748,0.0038773515130923024,-0.004685201719410683,0.006178800921194668,-0.002849398656223668,-0.0002675599778935504
2010-01-13,20100113,-0.010100431890844513,-0.0009092845949391717,-0.00026648379665761436,-0.001984361417390681,0.0007641315717357276,-0.000544311149932242,0.0018829499042793405,-0.0021741244470533084,0.000435570536890634,-0.00228270629876524,-0.0012177358314874242,0.01941257257856453,0.03453616245952224,-0.004974422347326587,0.017863591328127884,-0.00428546217343964,0.01202784210838849,-0.008367676733735617,0.003820895646236876,-0.008289336501909404,-0.00028625250485613115,-0.009132305440623621,0.010940309662820332,-0.015332631145004326,-0.015514324673446777,-0.0250140834272868,-0.012860173289485995,-0.003024166884449824,-0.01649195495566021,0.01312873334751781,0.004008259285590619,0.0031563960876165365,-0.008852588906319498,-0.009203846942054696,-0.01986772364024992,0.015388510338575434,-0.005500866663395252,0.011021393197984326,-0.008137662004819751,0.008233470480648692
2010-01-14,20100114,0.027314239777125483,-0.0010437261015299102,0.0016722605831742652,0.0014000659536318016,0.00026085529343897,0.0008002884027830103,0.0011735767365048488,-0.0031941020302655456,-0.00014394429233758016,0.0002681245601934162,-0.0006823459255198708,0.00740631798110165,0.02054046445898426,0.006130387418870487,0.016082143769032102,0.01645628397107594,-0.0142114710560426,-0.0030823525543220887,0.012786390817886975,-0.00980988544067997,-0.003979323593258441,0.0011568891469156985,-0.00753536359313207,-0.002585617613559014,-0.0009998429343208942,-0.009426438746511771,-0.0019460894772424754,-0.006176200984020073,-0.0006513243433307716,0.0024547219655183506,0.003040171076718636,0.0014201909719346267,-0.014484228140444633,0.01022674682576546,-0.011826280105844961,-0.00038644688816534014,0.013339002381811954,-0.005013669359056664,-0.0099989305648011,0.007074145041983142
2010-01-15,20100115,0.007175120825332667,-0.00026811975822089854,0.0024957057562796886,-0.0008464784376709949,-0.0005402855776918778,0.00038522194065279355,0.0004034124768884499,-0.0006006052820827455,0.0008880827021228755,-0.0007105972833920893,0.0002847998028441027,-0.009571395785952244,-0.013506074890976941,-0.0015838324604553408,-0.015438092559125262,0.007109011736504539,-0.009477250011577785,-0.0010504245329573047,-0.002076453097637392,0.010580561813605862,0.0036768358057602465,0.02233941531629994,-0.0012184276559704169,-0.0011234418076570682,0.008145604036118078,-0.004806755161273456,-0.0021134087103403484,0.005888429651709956,-0.007590279673730288,-0.009886398894103175,-0.001338772175892765,-0.0010293236046967158,0.0033803489215529265,-0.01050516811692652,0.013328006776766134,-9.943388974550932e-05,0.005678172485168534,0.0011311617144427522,-0.005557463022546659,-0.006488416834621451
